==========================================
REBUTTAL EXPERIMENTS — Wed Jun 10 22:06:17 EDT 2026
==========================================

[1/4] NER held-out task (6 models × 7 levels × 20 examples)
Started: Wed Jun 10 22:06:17 EDT 2026
Judge model: gpt-4o-mini
Models:    ['llama-3.1-8b', 'llama-3.3-70b', 'qwen3-32b', 'claude-haiku', 'gemini-flash']
Tasks:     ['ner']
Levels:    7 per task
Evaluator: llm_judge
Total:     700 experiments

Resuming: 700 experiments already done
[llama-3.1-8b | ner | level 1 | ex 1] SKIP
[llama-3.1-8b | instruction_following_hard | level 5 | ex 17] SKIP
[llama-3.1-8b | instruction_following_hard | level 5 | ex 18] SKIP
[llama-3.1-8b | instruction_following_hard | level 5 | ex 19] SKIP
[llama-3.1-8b | instruction_following_hard | level 5 | ex 20] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 1] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 2] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 3] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 4] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 5] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 6] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 7] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 8] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 9] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 10] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 11] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 12] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 13] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 14] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 15] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 16] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 17] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 18] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 19] SKIP
[llama-3.1-8b | instruction_following_hard | level 6 | ex 20] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 1] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 2] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 3] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 4] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 5] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 6] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 7] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 8] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 9] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 10] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 11] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 12] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 13] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 14] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 15] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 16] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 17] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 18] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 19] SKIP
[llama-3.1-8b | instruction_following_hard | level 7 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 1 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 2 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 3 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 4 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 5 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 6 | ex 20] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 1] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 2] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 3] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 4] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 5] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 6] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 7] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 8] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 9] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 10] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 11] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 12] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 13] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 14] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 15] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 16] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 17] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 18] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 19] SKIP
[llama-3.3-70b | math_reasoning_hard | level 7 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 1 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 2 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 3 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 4 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 5 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 6 | ex 20] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 1] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 2] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 3] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 4] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 5] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 6] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 7] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 8] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 9] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 10] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 11] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 12] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 13] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 14] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 15] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 16] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 17] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 18] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 19] SKIP
[llama-3.3-70b | qa_hard | level 7 | ex 20] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 1] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 2] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 3] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 4] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 5] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 6] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 7] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 8] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 9] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 10] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 11] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 12] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 13] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 14] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 15] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 16] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 17] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 18] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 19] SKIP
[llama-3.3-70b | instruction_following_hard | level 1 | ex 20] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 1] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 2] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 3] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 4] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 5] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 6] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 7] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 8] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 9] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 10] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 11] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 12] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 13] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 14] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 15] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 16] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 17] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 18] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 19] SKIP
[llama-3.3-70b | instruction_following_hard | level 2 | ex 20] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 1] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 2] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 3] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 4] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 5] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 6] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 7] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 8] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 9] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 10] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 11] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 12] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 13] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 14] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 15] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 16] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 17] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 18] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 19] SKIP
[llama-3.3-70b | instruction_following_hard | level 3 | ex 20] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 1] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 2] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 3] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 4] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 5] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 6] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 7] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 8] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 9] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 10] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 11] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 12] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 13] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 14] SKIP
[llama-3.3-70b | instruction_following_hard | level 4 | ex 15] quality=0.400 tokens=92
[llama-3.3-70b | instruction_following_hard | level 4 | ex 16] quality=0.800 tokens=103
